post_id,post_text,toxicity_score,final_label,reason
47e186c6-e733-408e-af1e-bb65449a3f78,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
7c28cde1-cc57-4bd8-8c23-e1cb3bedccb8,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
3ad5fe36-e5cb-4103-8fca-7e790401916c,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
8cf85611-6c6c-4402-8a6c-d4045ea36e6d,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
cde51b30-dc85-4dd4-8e40-e27070a1ea62,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
4154b890-795b-4881-a1c3-77e2af16c99d,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
64c0f2e6-2d36-4c01-b6bd-48abfd0e0f2a,You won't believe what happened next!,0.0048158597,Safe,Clean content
dbd2c187-9f39-4a43-a03e-01bf081e6251,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
4026c965-e111-4852-91f9-0d1876f1755a,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
fc635316-a9b4-4901-a23f-58b0a198e6b9,Join us live for the global science fair.,0.0005469048,Safe,Clean content
09b205c4-04b4-441f-9dea-0b65b9ee14c7,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content; Image flagged for: Racy
aa9bece5-0d66-4037-8b09-b8f3d21bd419,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
9a7a024e-5bd8-4da5-ab96-117f6b653cbf,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
ab8534e7-2a76-4775-aca3-6ad549a15769,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Violence
c02be2d1-9917-4550-bae6-e6cb28cf7377,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
65e1d2a6-becd-4b84-a973-0b3f995afb5a,Check out this new art tutorial.,0.0007006176,Safe,Clean content
238fc260-18a4-4df0-b20c-604777ed4c42,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found; Image flagged for: Violence
c0ccf51e-2ce5-4868-b14e-1fdccaad074a,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
3dd958f7-253d-4d9c-b204-83fa96654c08,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
95e8f580-f73a-4a95-b61c-e518354d6a48,Join us live for the global science fair.,0.0005469048,Safe,Clean content
d70fb80d-f436-4825-9648-7a2ef4add262,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Adult
21c42d44-5b9a-49c7-971e-9e7086955bd0,Check out this new art tutorial.,0.0007006176,Safe,Clean content; Image flagged for: Racy
6bf79a71-abd3-4c78-960b-ec779da39f53,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
8cca95df-80a8-4b10-af57-98938b714a8d,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
ea12f6b9-5b55-4976-a34d-2741cd5715db,Join us live for the global science fair.,0.0005469048,Safe,Clean content
e0c95339-af90-4bda-a09c-0b45911a1f28,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Racy
eeeb641f-680c-4cf6-8832-613965d49f18,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
d71cbe5a-a18c-4f80-8635-b1601a8a972e,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
1e0daa2d-40bd-4df0-96c5-0e78ddbf624f,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
5b87ea93-a387-4978-811a-6d417dd20aec,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
ab4f4d96-3118-40d3-b5fb-d32832c36e6d,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
5ba37db3-159f-4258-8876-1a0d67c8fc43,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content; Image flagged for: Violence
c2bf282c-96db-43df-966b-f72f954e3656,Join us live for the global science fair.,0.0005469048,Safe,Clean content
7d0143db-00cb-4910-a71b-7dde45e8120f,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content; Image flagged for: Violence
413908ab-2947-4198-9e61-0b0d7861f5e5,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Adult
222b93c9-0a84-47cd-b692-fe5eb6e5ab0f,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
531823ee-c2f9-4e23-a0ea-446ead2df0f2,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
a35e8723-50b6-4be1-8411-41a562521fb7,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
e5a97013-f78b-4cd0-b064-cff647a11a13,Join us live for the global science fair.,0.0005469048,Safe,Clean content; Image flagged for: Adult
57516d55-5ea3-4711-8f6d-49e6b2201f2e,Join us live for the global science fair.,0.0005469048,Safe,Clean content; Image flagged for: Adult
3c096050-a3b8-443c-a754-17b0a2243b1d,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
